     col           wave        flux         sky   synth_sky         snr        flat  trace_upper  trace_lower  trace_mean   trace_fit     fit_res  
  pixels      Angstroms      counts      counts                                            pixel       pixels      pixels      pixels      pixels  
       0   2.045955e+04   1.339e+04   6.275e+01   1.258e-01   2.416e+02   9.425e-01    2.150e+02    1.520e+02   1.835e+02   1.833e+02  -1.965e-01  
       1   2.045983e+04   1.306e+04   5.984e+01   1.258e-01   2.325e+02   8.992e-01    2.144e+02    1.523e+02   1.833e+02   1.833e+02  -6.140e-03  
       2   2.046012e+04   1.277e+04   5.698e+01   1.258e-01   2.327e+02   9.241e-01    2.146e+02    1.521e+02   1.834e+02   1.833e+02  -2.455e-02  
       3   2.046041e+04   1.263e+04   5.641e+01   1.258e-01   2.267e+02   8.878e-01    2.146e+02    1.523e+02   1.834e+02   1.833e+02  -7.233e-02  
       4   2.046069e+04   1.252e+04   5.574e+01   1.258e-01   2.330e+02   9.417e-01    2.145e+02    1.522e+02   1.834e+02   1.834e+02  -1.395e-02  
       5   2.046098e+04   1.285e+04   6.074e+01   1.258e-01   2.342e+02   9.194e-01    2.147e+02    1.522e+02   1.834e+02   1.834e+02  -7.353e-02  
       6   2.046126e+04   1.297e+04   6.613e+01   1.258e-01   2.369e+02   9.495e-01    2.145e+02    1.522e+02   1.833e+02   1.834e+02   5.357e-02  
       7   2.046155e+04   1.292e+04   6.215e+01   1.258e-01   2.328e+02   9.096e-01    2.146e+02    1.523e+02   1.834e+02   1.834e+02  -5.752e-02  
       8   2.046183e+04   1.290e+04   6.118e+01   1.258e-01   2.371e+02   9.429e-01    2.145e+02    1.523e+02   1.834e+02   1.834e+02  -1.717e-02  
       9   2.046212e+04   1.240e+04   5.453e+01   1.258e-01   2.282e+02   9.175e-01    2.146e+02    1.525e+02   1.835e+02   1.834e+02  -1.001e-01  
      10   2.046241e+04   1.137e+04   5.073e+01   1.258e-01   2.171e+02   9.177e-01    2.144e+02    1.520e+02   1.832e+02   1.834e+02   2.057e-01  
      11   2.046269e+04   1.014e+04   4.764e+01   1.258e-01   2.021e+02   9.097e-01    2.146e+02    1.524e+02   1.835e+02   1.834e+02  -5.017e-02  
      12   2.046298e+04   1.044e+04   4.412e+01   1.258e-01   2.059e+02   9.092e-01    2.146e+02    1.522e+02   1.834e+02   1.834e+02   6.621e-02  
      13   2.046326e+04   1.131e+04   5.347e+01   1.258e-01   2.157e+02   9.098e-01    2.149e+02    1.523e+02   1.836e+02   1.835e+02  -1.224e-01  
      14   2.046355e+04   1.235e+04   5.580e+01   1.258e-01   2.267e+02   9.082e-01    2.146e+02    1.522e+02   1.834e+02   1.835e+02   1.077e-01  
      15   2.046384e+04   1.246e+04   5.279e+01   1.258e-01   2.270e+02   8.988e-01    2.148e+02    1.523e+02   1.836e+02   1.835e+02  -7.337e-02  
      16   2.046412e+04   1.249e+04   6.103e+01   1.258e-01   2.280e+02   9.085e-01    2.146e+02    1.522e+02   1.834e+02   1.835e+02   5.437e-02  
      17   2.046441e+04   1.240e+04   5.249e+01   1.258e-01   2.275e+02   9.095e-01    2.148e+02    1.523e+02   1.836e+02   1.835e+02  -6.451e-02  
      18   2.046469e+04   1.311e+04   5.519e+01   1.258e-01   2.354e+02   9.080e-01    2.147e+02    1.522e+02   1.835e+02   1.835e+02   7.105e-02  
      19   2.046498e+04   1.309e+04   5.812e+01   1.258e-01   2.355e+02   9.157e-01    2.146e+02    1.524e+02   1.835e+02   1.835e+02   5.262e-02  
      20   2.046527e+04   1.332e+04   5.497e+01   1.258e-01   2.370e+02   9.053e-01    2.147e+02    1.523e+02   1.835e+02   1.835e+02   2.919e-02  
      21   2.046555e+04   1.281e+04   6.081e+01   1.258e-01   2.316e+02   9.102e-01    2.148e+02    1.524e+02   1.836e+02   1.836e+02   3.436e-03  
      22   2.046584e+04   1.274e+04   5.607e+01   1.258e-01   2.312e+02   9.098e-01    2.148e+02    1.524e+02   1.836e+02   1.836e+02  -2.173e-02  
      23   2.046612e+04   1.248e+04   5.230e+01   1.258e-01   2.293e+02   9.141e-01    2.147e+02    1.523e+02   1.835e+02   1.836e+02   5.237e-02  
      24   2.046641e+04   1.305e+04   5.674e+01   1.258e-01   2.358e+02   9.195e-01    2.147e+02    1.525e+02   1.836e+02   1.836e+02   2.767e-03  
