     col           wave        flux         sky   synth_sky         snr        flat  trace_upper  trace_lower  trace_mean   trace_fit     fit_res  
  pixels      Angstroms      counts      counts                                            pixel       pixels      pixels      pixels      pixels  
      37   2.047076e+04   1.274e+04   1.600e+01   1.258e-01   2.308e+02   9.221e-01    2.149e+02    1.527e+02   1.838e+02   1.838e+02  -4.293e-02  
      38   2.047105e+04   1.265e+04   2.548e+01   1.258e-01   2.296e+02   9.319e-01    2.148e+02    1.526e+02   1.837e+02   1.838e+02   3.843e-02  
      39   2.047134e+04   1.173e+04   1.678e+01   1.258e-01   2.230e+02   9.394e-01    2.162e+02    1.528e+02   1.845e+02   1.838e+02  -7.438e-01  
      40   2.047163e+04   1.088e+04   2.657e+01   1.258e-01   2.109e+02   9.445e-01    2.148e+02    1.527e+02   1.838e+02   1.838e+02   5.624e-03  
      41   2.047191e+04   9.062e+03   2.021e+01   1.258e-01   1.915e+02   9.491e-01    2.149e+02    1.527e+02   1.838e+02   1.838e+02  -5.757e-03  
      42   2.047220e+04   7.735e+03   9.665e+00   1.258e-01   1.725e+02   9.443e-01    2.150e+02    1.526e+02   1.838e+02   1.838e+02   3.280e-02  
      43   2.047249e+04   7.594e+03   1.030e+01   1.258e-01   1.717e+02   9.388e-01    2.148e+02    1.526e+02   1.837e+02   1.838e+02   1.083e-01  
      44   2.047278e+04   9.347e+03   1.823e+01   1.258e-01   1.934e+02   9.390e-01    2.149e+02    1.526e+02   1.837e+02   1.838e+02   1.268e-01  
      45   2.047307e+04   1.107e+04   1.070e+01   1.258e-01   2.144e+02   9.256e-01    2.149e+02    1.526e+02   1.837e+02   1.839e+02   1.120e-01  
      46   2.047335e+04   1.225e+04   1.808e+01   1.258e-01   2.264e+02   9.317e-01    2.149e+02    1.527e+02   1.838e+02   1.839e+02   4.534e-02  
      47   2.047364e+04   1.240e+04   1.824e+01   1.258e-01   2.313e+02   9.404e-01    2.149e+02    1.528e+02   1.839e+02   1.839e+02   1.956e-02  
      48   2.047393e+04   1.261e+04   1.593e+01   1.258e-01   2.332e+02   9.311e-01    2.150e+02    1.526e+02   1.838e+02   1.839e+02   7.954e-02  
      49   2.047422e+04   1.260e+04   1.498e+01   1.258e-01   2.330e+02   9.338e-01    2.150e+02    1.531e+02   1.841e+02   1.839e+02  -1.562e-01  
      50   2.047451e+04   1.260e+04   1.973e+01   1.258e-01   2.297e+02   9.183e-01    2.149e+02    1.527e+02   1.838e+02   1.839e+02   1.145e-01  
      51   2.047479e+04   1.218e+04   2.315e+01   1.258e-01   2.240e+02   9.236e-01    2.150e+02    1.530e+02   1.840e+02   1.839e+02  -3.513e-02  
      52   2.047508e+04   1.224e+04   1.477e+01   1.258e-01   2.272e+02   9.219e-01    2.149e+02    1.529e+02   1.839e+02   1.839e+02   2.101e-02  
      53   2.047537e+04   1.195e+04   1.864e+01   1.258e-01   2.221e+02   9.311e-01    2.151e+02    1.531e+02   1.841e+02   1.840e+02  -1.795e-01  
      54   2.047566e+04   1.226e+04   2.306e+01   1.258e-01   2.286e+02   9.359e-01    2.149e+02    1.528e+02   1.839e+02   1.840e+02   1.078e-01  
      55   2.047594e+04   1.214e+04   1.847e+01   1.258e-01   2.282e+02   9.341e-01    2.150e+02    1.529e+02   1.840e+02   1.840e+02   8.837e-03  
      56   2.047623e+04   1.242e+04   1.468e+01   1.258e-01   2.272e+02   9.326e-01    2.151e+02    1.530e+02   1.840e+02   1.840e+02  -4.629e-02  
      57   2.047652e+04   1.136e+04   2.061e+01   1.258e-01   2.189e+02   9.462e-01    2.152e+02    1.530e+02   1.841e+02   1.840e+02  -9.325e-02  
      58   2.047681e+04   9.797e+03   1.974e+01   1.258e-01   1.983e+02   9.462e-01    2.150e+02    1.531e+02   1.841e+02   1.840e+02  -5.274e-02  
      59   2.047710e+04   7.846e+03   1.682e+01   1.258e-01   1.741e+02   9.471e-01    2.150e+02    1.531e+02   1.841e+02   1.840e+02  -3.239e-02  
      60   2.047738e+04   7.890e+03   1.243e+01   1.258e-01   1.761e+02   9.488e-01    2.150e+02    1.529e+02   1.840e+02   1.840e+02   7.450e-02  
      61   2.047767e+04   9.479e+03   1.312e+01   1.258e-01   1.973e+02   9.441e-01    2.152e+02    1.533e+02   1.842e+02   1.840e+02  -1.611e-01  
      62   2.047796e+04   1.154e+04   1.433e+01   1.258e-01   2.214e+02   9.480e-01    2.151e+02    1.528e+02   1.840e+02   1.841e+02   1.031e-01  
      63   2.047825e+04   1.215e+04   1.605e+01   1.258e-01   2.270e+02   9.466e-01    2.152e+02    1.533e+02   1.842e+02   1.841e+02  -1.663e-01  
      64   2.047854e+04   1.260e+04   1.162e+01   1.258e-01   2.373e+02   9.603e-01    2.151e+02    1.528e+02   1.840e+02   1.841e+02   1.015e-01  
      65   2.047883e+04   1.211e+04   1.426e+01   1.258e-01   2.326e+02   9.603e-01    2.157e+02    1.530e+02   1.843e+02   1.841e+02  -2.360e-01  
      66   2.047911e+04   1.111e+04   1.635e+01   1.258e-01   2.177e+02   9.537e-01    2.151e+02    1.529e+02   1.840e+02   1.841e+02   1.397e-01  
      67   2.047940e+04   9.996e+03   1.344e+01   1.258e-01   2.026e+02   9.482e-01    2.151e+02    1.532e+02   1.841e+02   1.841e+02  -1.450e-02  
      68   2.047969e+04   1.009e+04   1.333e+01   1.258e-01   2.057e+02   9.504e-01    2.152e+02    1.528e+02   1.840e+02   1.841e+02   1.181e-01  
      69   2.047998e+04   1.096e+04   1.293e+01   1.258e-01   2.152e+02   9.390e-01    2.152e+02    1.532e+02   1.842e+02   1.841e+02  -4.573e-02  
      70   2.048027e+04   1.202e+04   1.653e+01   1.258e-01   2.257e+02   9.338e-01    2.151e+02    1.529e+02   1.840e+02   1.842e+02   1.348e-01  
      71   2.048055e+04   1.212e+04   1.524e+01   1.258e-01   2.269e+02   9.371e-01    2.152e+02    1.535e+02   1.843e+02   1.842e+02  -1.524e-01  
