     col           wave        flux         sky   synth_sky         snr        flat  trace_upper  trace_lower  trace_mean   trace_fit     fit_res  
  pixels      Angstroms      counts      counts                                            pixel       pixels      pixels      pixels      pixels  
       0   2.102419e+04   1.288e+04   3.778e+01   1.258e-01   2.385e+02   9.603e-01    3.550e+02    2.940e+02   3.245e+02   3.249e+02   3.546e-01  
       1   2.102448e+04   1.314e+04   3.616e+01   1.258e-01   2.368e+02   9.217e-01    3.557e+02    2.938e+02   3.248e+02   3.249e+02   9.715e-02  
       2   2.102477e+04   1.341e+04   3.556e+01   1.258e-01   2.406e+02   9.360e-01    3.561e+02    2.938e+02   3.249e+02   3.249e+02  -7.913e-02  
       3   2.102507e+04   1.326e+04   4.280e+01   1.258e-01   2.378e+02   9.183e-01    3.559e+02    2.939e+02   3.249e+02   3.249e+02   1.081e-04  
       4   2.102536e+04   1.282e+04   4.598e+01   1.258e-01   2.366e+02   9.582e-01    3.560e+02    2.938e+02   3.249e+02   3.249e+02  -5.705e-02  
       5   2.102565e+04   1.285e+04   4.844e+01   1.258e-01   2.328e+02   9.236e-01    3.559e+02    2.938e+02   3.248e+02   3.249e+02   1.769e-02  
       6   2.102594e+04   1.288e+04   4.756e+01   1.259e-01   2.357e+02   9.471e-01    3.562e+02    2.938e+02   3.250e+02   3.249e+02  -1.392e-01  
       7   2.102624e+04   1.308e+04   3.978e+01   1.672e-01   2.348e+02   9.180e-01    3.559e+02    2.937e+02   3.248e+02   3.249e+02   8.147e-02  
       8   2.102653e+04   1.307e+04   3.702e+01   1.762e+00   2.356e+02   9.224e-01    3.559e+02    2.938e+02   3.249e+02   3.249e+02   3.676e-03  
       9   2.102682e+04   1.329e+04   3.441e+01   6.520e+00   2.351e+02   8.972e-01    3.560e+02    2.938e+02   3.249e+02   3.249e+02   3.583e-03  
      10   2.102711e+04   1.321e+04   3.221e+01   2.917e+00   2.397e+02   9.340e-01    3.559e+02    2.939e+02   3.249e+02   3.249e+02  -2.353e-02  
      11   2.102741e+04   1.312e+04   3.425e+01   4.412e+00   2.376e+02   9.252e-01    3.559e+02    2.938e+02   3.249e+02   3.249e+02   3.034e-02  
      12   2.102770e+04   1.342e+04   3.476e+01   5.539e+00   2.406e+02   9.254e-01    3.561e+02    2.937e+02   3.249e+02   3.249e+02  -5.313e-02  
      13   2.102799e+04   1.302e+04   3.687e+01   8.171e-01   2.364e+02   9.295e-01    3.558e+02    2.939e+02   3.249e+02   3.249e+02   1.019e-02  
      14   2.102829e+04   1.342e+04   3.722e+01   1.345e-01   2.420e+02   9.373e-01    3.559e+02    2.937e+02   3.248e+02   3.249e+02   6.844e-02  
      15   2.102858e+04   1.320e+04   3.456e+01   1.258e-01   2.386e+02   9.296e-01    3.559e+02    2.937e+02   3.248e+02   3.249e+02   7.784e-02  
      16   2.102887e+04   1.337e+04   3.252e+01   1.258e-01   2.422e+02   9.362e-01    3.562e+02    2.936e+02   3.249e+02   3.249e+02   1.766e-03  
      17   2.102916e+04   1.332e+04   3.495e+01   1.258e-01   2.406e+02   9.344e-01    3.560e+02    2.938e+02   3.249e+02   3.249e+02   3.749e-02  
      18   2.102946e+04   1.361e+04   3.346e+01   1.258e-01   2.427e+02   9.288e-01    3.563e+02    2.940e+02   3.251e+02   3.249e+02  -2.470e-01  
      19   2.102975e+04   1.330e+04   3.299e+01   1.258e-01   2.415e+02   9.378e-01    3.559e+02    2.939e+02   3.249e+02   3.249e+02   1.290e-02  
      20   2.103004e+04   1.337e+04   3.301e+01   1.258e-01   2.416e+02   9.411e-01    3.560e+02    2.941e+02   3.250e+02   3.249e+02  -1.413e-01  
      21   2.103034e+04   1.302e+04   3.157e+01   1.258e-01   2.377e+02   9.338e-01    3.560e+02    2.939e+02   3.250e+02   3.249e+02  -5.234e-02  
      22   2.103063e+04   1.314e+04   2.887e+01   1.258e-01   2.409e+02   9.444e-01    3.561e+02    2.939e+02   3.250e+02   3.249e+02  -5.773e-02  
      23   2.103092e+04   1.300e+04   3.368e+01   1.258e-01   2.374e+02   9.377e-01    3.559e+02    2.938e+02   3.249e+02   3.249e+02   5.269e-02  
      24   2.103121e+04   1.311e+04   3.382e+01   1.258e-01   2.395e+02   9.415e-01    3.561e+02    2.939e+02   3.250e+02   3.249e+02  -5.713e-02  
