     col           wave        flux         sky   synth_sky         snr        flat  trace_upper  trace_lower  trace_mean   trace_fit     fit_res  
  pixels      Angstroms      counts      counts                                            pixel       pixels      pixels      pixels      pixels  
       0   2.225311e+04   9.634e+03   2.700e+01   1.258e-01   2.007e+02   9.468e-01    6.610e+02    6.000e+02   6.305e+02   6.314e+02   9.489e-01  
       1   2.225342e+04   1.017e+04   2.768e+01   1.258e-01   2.027e+02   9.112e-01    6.625e+02    6.005e+02   6.315e+02   6.314e+02  -4.972e-02  
       2   2.225372e+04   1.031e+04   2.273e+01   1.258e-01   2.057e+02   9.170e-01    6.624e+02    6.003e+02   6.313e+02   6.314e+02   7.100e-02  
       3   2.225403e+04   1.016e+04   2.804e+01   1.258e-01   2.020e+02   9.066e-01    6.624e+02    6.003e+02   6.314e+02   6.314e+02   1.971e-02  
       4   2.225434e+04   9.981e+03   2.607e+01   1.258e-01   2.050e+02   9.449e-01    6.624e+02    6.005e+02   6.314e+02   6.314e+02  -4.318e-02  
       5   2.225465e+04   9.943e+03   2.887e+01   1.258e-01   2.017e+02   9.252e-01    6.623e+02    6.004e+02   6.313e+02   6.314e+02   3.117e-02  
       6   2.225495e+04   9.767e+03   3.040e+01   1.258e-01   2.028e+02   9.525e-01    6.623e+02    6.004e+02   6.314e+02   6.313e+02  -1.625e-02  
       7   2.225526e+04   1.002e+04   2.793e+01   1.258e-01   2.009e+02   9.124e-01    6.623e+02    6.003e+02   6.313e+02   6.313e+02   2.472e-02  
       8   2.225557e+04   1.004e+04   2.791e+01   1.258e-01   2.034e+02   9.297e-01    6.622e+02    6.003e+02   6.313e+02   6.313e+02   4.754e-02  
       9   2.225588e+04   1.026e+04   2.951e+01   1.258e-01   2.025e+02   9.017e-01    6.623e+02    6.003e+02   6.313e+02   6.313e+02   1.848e-02  
      10   2.225618e+04   1.027e+04   2.329e+01   1.258e-01   2.065e+02   9.266e-01    6.622e+02    6.003e+02   6.313e+02   6.313e+02   7.019e-03  
      11   2.225649e+04   1.028e+04   2.852e+01   1.258e-01   2.047e+02   9.175e-01    6.623e+02    6.003e+02   6.313e+02   6.312e+02  -3.640e-02  
      12   2.225680e+04   1.040e+04   2.718e+01   1.258e-01   2.083e+02   9.299e-01    6.621e+02    6.003e+02   6.312e+02   6.312e+02   1.378e-02  
      13   2.225711e+04   1.013e+04   2.726e+01   1.258e-01   2.049e+02   9.307e-01    6.621e+02    6.004e+02   6.312e+02   6.312e+02  -2.211e-02  
      14   2.225742e+04   1.015e+04   2.792e+01   1.258e-01   2.057e+02   9.349e-01    6.621e+02    6.001e+02   6.311e+02   6.312e+02   8.405e-02  
      15   2.225772e+04   1.005e+04   2.605e+01   1.258e-01   2.046e+02   9.339e-01    6.622e+02    6.002e+02   6.312e+02   6.312e+02  -2.820e-02  
      16   2.225803e+04   1.004e+04   2.351e+01   1.258e-01   2.050e+02   9.353e-01    6.621e+02    6.002e+02   6.311e+02   6.312e+02   2.648e-02  
      17   2.225834e+04   9.918e+03   2.540e+01   1.258e-01   2.025e+02   9.289e-01    6.621e+02    6.002e+02   6.311e+02   6.311e+02  -1.186e-02  
      18   2.225865e+04   1.005e+04   2.825e+01   1.258e-01   2.049e+02   9.396e-01    6.620e+02    6.001e+02   6.311e+02   6.311e+02   5.507e-02  
      19   2.225895e+04   1.006e+04   2.779e+01   1.258e-01   2.040e+02   9.305e-01    6.622e+02    6.002e+02   6.312e+02   6.311e+02  -8.774e-02  
      20   2.225926e+04   1.017e+04   2.527e+01   1.258e-01   2.065e+02   9.370e-01    6.620e+02    6.001e+02   6.310e+02   6.311e+02   6.170e-02  
      21   2.225957e+04   9.945e+03   2.607e+01   1.258e-01   2.035e+02   9.369e-01    6.621e+02    6.002e+02   6.311e+02   6.311e+02  -5.371e-02  
      22   2.225988e+04   1.011e+04   2.418e+01   1.258e-01   2.066e+02   9.412e-01    6.619e+02    6.001e+02   6.310e+02   6.310e+02   6.008e-02  
      23   2.226019e+04   9.899e+03   2.790e+01   1.258e-01   2.035e+02   9.452e-01    6.620e+02    6.002e+02   6.311e+02   6.310e+02  -6.150e-02  
      24   2.226049e+04   1.008e+04   2.675e+01   1.258e-01   2.057e+02   9.389e-01    6.619e+02    6.001e+02   6.310e+02   6.310e+02  -9.063e-03  
      25   2.226080e+04   9.777e+03   2.608e+01   1.258e-01   2.022e+02   9.416e-01    6.621e+02    6.001e+02   6.311e+02   6.310e+02  -1.179e-01  
      26   2.226111e+04   9.972e+03   2.219e+01   1.258e-01   2.050e+02   9.414e-01    6.619e+02    6.001e+02   6.310e+02   6.310e+02  -2.779e-03  
      27   2.226142e+04   9.709e+03   2.297e+01   1.258e-01   2.010e+02   9.361e-01    6.619e+02    6.001e+02   6.310e+02   6.310e+02  -4.084e-02  
      28   2.226172e+04   1.008e+04   2.894e+01   1.258e-01   2.055e+02   9.399e-01    6.619e+02    6.000e+02   6.309e+02   6.309e+02  -1.311e-03  
      29   2.226203e+04   1.008e+04   2.438e+01   1.258e-01   2.052e+02   9.374e-01    6.618e+02    6.001e+02   6.310e+02   6.309e+02  -4.387e-02  
      30   2.226234e+04   1.012e+04   2.480e+01   1.258e-01   2.062e+02   9.382e-01    6.619e+02    5.999e+02   6.309e+02   6.309e+02   2.982e-04  
      31   2.226265e+04   1.018e+04   2.442e+01   1.258e-01   2.070e+02   9.385e-01    6.618e+02    5.999e+02   6.308e+02   6.309e+02   6.151e-02  
      32   2.226296e+04   1.020e+04   2.758e+01   1.258e-01   2.071e+02   9.392e-01    6.619e+02    5.999e+02   6.309e+02   6.309e+02  -2.506e-02  
