     col           wave        flux         sky   synth_sky         snr        flat  trace_upper  trace_lower  trace_mean   trace_fit     fit_res  
  pixels      Angstroms      counts      counts                                            pixel       pixels      pixels      pixels      pixels  
       0   2.225309e+04   8.723e+03   6.789e+01   1.258e-01   1.388e+02   9.471e-01    6.610e+02    6.000e+02   6.305e+02   6.314e+02   9.489e-01  
       1   2.225339e+04   9.083e+03   6.396e+01   1.258e-01   1.389e+02   9.055e-01    6.625e+02    6.005e+02   6.315e+02   6.314e+02  -4.972e-02  
       2   2.225369e+04   9.320e+03   6.813e+01   1.258e-01   1.420e+02   9.066e-01    6.624e+02    6.003e+02   6.313e+02   6.314e+02   7.100e-02  
       3   2.225399e+04   9.575e+03   6.506e+01   1.258e-01   1.443e+02   8.988e-01    6.624e+02    6.003e+02   6.314e+02   6.314e+02   1.971e-02  
       4   2.225429e+04   9.519e+03   6.251e+01   1.258e-01   1.486e+02   9.455e-01    6.624e+02    6.005e+02   6.314e+02   6.314e+02  -4.318e-02  
       5   2.225459e+04   9.574e+03   6.569e+01   1.258e-01   1.464e+02   9.166e-01    6.623e+02    6.004e+02   6.313e+02   6.314e+02   3.117e-02  
       6   2.225489e+04   9.495e+03   5.615e+01   1.258e-01   1.487e+02   9.418e-01    6.623e+02    6.004e+02   6.314e+02   6.313e+02  -1.625e-02  
       7   2.225519e+04   9.406e+03   7.014e+01   1.258e-01   1.431e+02   9.102e-01    6.623e+02    6.003e+02   6.313e+02   6.313e+02   2.472e-02  
       8   2.225549e+04   9.484e+03   6.430e+01   1.258e-01   1.461e+02   9.263e-01    6.622e+02    6.003e+02   6.313e+02   6.313e+02   4.754e-02  
       9   2.225579e+04   9.759e+03   6.899e+01   1.258e-01   1.460e+02   8.970e-01    6.623e+02    6.003e+02   6.313e+02   6.313e+02   1.848e-02  
      10   2.225609e+04   9.902e+03   6.631e+01   1.258e-01   1.503e+02   9.177e-01    6.622e+02    6.003e+02   6.313e+02   6.313e+02   7.019e-03  
      11   2.225639e+04   9.721e+03   6.259e+01   1.258e-01   1.478e+02   9.134e-01    6.623e+02    6.003e+02   6.313e+02   6.312e+02  -3.640e-02  
      12   2.225669e+04   9.712e+03   6.370e+01   1.258e-01   1.489e+02   9.255e-01    6.621e+02    6.003e+02   6.312e+02   6.312e+02   1.378e-02  
      13   2.225699e+04   9.487e+03   5.306e+01   1.258e-01   1.464e+02   9.211e-01    6.621e+02    6.004e+02   6.312e+02   6.312e+02  -2.211e-02  
      14   2.225729e+04   9.329e+03   6.174e+01   1.258e-01   1.451e+02   9.305e-01    6.621e+02    6.001e+02   6.311e+02   6.312e+02   8.405e-02  
      15   2.225759e+04   9.363e+03   6.171e+01   1.258e-01   1.444e+02   9.198e-01    6.622e+02    6.002e+02   6.312e+02   6.312e+02  -2.820e-02  
      16   2.225789e+04   9.296e+03   5.901e+01   1.258e-01   1.448e+02   9.319e-01    6.621e+02    6.002e+02   6.311e+02   6.312e+02   2.648e-02  
      17   2.225819e+04   9.212e+03   5.532e+01   1.258e-01   1.429e+02   9.206e-01    6.621e+02    6.002e+02   6.311e+02   6.311e+02  -1.186e-02  
      18   2.225849e+04   9.104e+03   6.251e+01   1.258e-01   1.424e+02   9.330e-01    6.620e+02    6.001e+02   6.311e+02   6.311e+02   5.507e-02  
      19   2.225879e+04   9.231e+03   5.168e+01   1.258e-01   1.433e+02   9.191e-01    6.622e+02    6.002e+02   6.312e+02   6.311e+02  -8.774e-02  
      20   2.225909e+04   9.424e+03   5.511e+01   1.258e-01   1.469e+02   9.343e-01    6.620e+02    6.001e+02   6.310e+02   6.311e+02   6.170e-02  
      21   2.225939e+04   9.549e+03   5.320e+01   1.258e-01   1.476e+02   9.248e-01    6.621e+02    6.002e+02   6.311e+02   6.311e+02  -5.371e-02  
      22   2.225969e+04   9.545e+03   5.954e+01   1.258e-01   1.486e+02   9.386e-01    6.619e+02    6.001e+02   6.310e+02   6.310e+02   6.008e-02  
      23   2.225999e+04   9.482e+03   4.929e+01   1.258e-01   1.477e+02   9.325e-01    6.620e+02    6.002e+02   6.311e+02   6.310e+02  -6.150e-02  
      24   2.226029e+04   9.269e+03   5.122e+01   1.258e-01   1.454e+02   9.372e-01    6.619e+02    6.001e+02   6.310e+02   6.310e+02  -9.063e-03  
      25   2.226059e+04   9.053e+03   4.395e+01   1.258e-01   1.423e+02   9.271e-01    6.621e+02    6.001e+02   6.311e+02   6.310e+02  -1.179e-01  
      26   2.226089e+04   8.921e+03   4.727e+01   1.258e-01   1.413e+02   9.372e-01    6.619e+02    6.001e+02   6.310e+02   6.310e+02  -2.779e-03  
      27   2.226120e+04   8.930e+03   5.060e+01   1.258e-01   1.401e+02   9.265e-01    6.619e+02    6.001e+02   6.310e+02   6.310e+02  -4.084e-02  
      28   2.226150e+04   9.220e+03   5.489e+01   1.258e-01   1.444e+02   9.352e-01    6.619e+02    6.000e+02   6.309e+02   6.309e+02  -1.311e-03  
      29   2.226180e+04   9.277e+03   5.755e+01   1.258e-01   1.446e+02   9.304e-01    6.618e+02    6.001e+02   6.310e+02   6.309e+02  -4.387e-02  
      30   2.226210e+04   9.627e+03   5.374e+01   1.258e-01   1.498e+02   9.384e-01    6.619e+02    5.999e+02   6.309e+02   6.309e+02   2.982e-04  
      31   2.226240e+04   9.478e+03   5.354e+01   1.258e-01   1.476e+02   9.350e-01    6.618e+02    5.999e+02   6.308e+02   6.309e+02   6.151e-02  
