     col           wave        flux         sky   synth_sky         snr        flat  trace_upper  trace_lower  trace_mean   trace_fit     fit_res  
  pixels      Angstroms      counts      counts                                            pixel       pixels      pixels      pixels      pixels  
       0   2.162177e+04   6.317e+03   1.311e+01   2.064e+00   1.490e+02   9.297e-01    5.050e+02    4.430e+02   4.740e+02   4.739e+02  -6.583e-02  
       1   2.162207e+04   6.591e+03   9.550e+00   9.973e+00   1.568e+02   9.297e-01    5.050e+02    4.429e+02   4.739e+02   4.739e+02   4.143e-03  
       2   2.162236e+04   6.505e+03   1.481e+01   8.427e+00   1.529e+02   9.334e-01    5.049e+02    4.430e+02   4.739e+02   4.739e+02  -5.758e-03  
       3   2.162266e+04   6.586e+03   1.724e+01   1.209e+00   1.501e+02   9.004e-01    5.050e+02    4.430e+02   4.740e+02   4.739e+02  -7.146e-02  
       4   2.162296e+04   6.389e+03   2.148e+01   1.406e-01   1.425e+02   8.926e-01    5.048e+02    4.430e+02   4.739e+02   4.739e+02  -4.465e-02  
       5   2.162325e+04   6.276e+03   1.946e+01   1.258e-01   1.425e+02   8.933e-01    5.047e+02    4.428e+02   4.737e+02   4.739e+02   1.536e-01  
       6   2.162355e+04   6.265e+03   1.477e+01   1.258e-01   1.446e+02   9.164e-01    5.049e+02    4.430e+02   4.739e+02   4.739e+02  -2.508e-02  
       7   2.162384e+04   6.218e+03   1.677e+01   1.258e-01   1.469e+02   9.208e-01    5.048e+02    4.430e+02   4.739e+02   4.739e+02  -2.883e-02  
       8   2.162414e+04   6.314e+03   1.167e+01   1.258e-01   1.494e+02   9.351e-01    5.048e+02    4.428e+02   4.738e+02   4.739e+02   6.562e-02  
       9   2.162443e+04   6.377e+03   1.165e+01   1.258e-01   1.512e+02   9.324e-01    5.048e+02    4.429e+02   4.739e+02   4.739e+02   7.402e-03  
      10   2.162473e+04   6.537e+03   1.207e+01   1.258e-01   1.521e+02   9.211e-01    5.047e+02    4.428e+02   4.737e+02   4.739e+02   1.140e-01  
      11   2.162503e+04   6.352e+03   1.525e+01   1.258e-01   1.477e+02   9.086e-01    5.048e+02    4.430e+02   4.739e+02   4.738e+02  -5.210e-02  
      12   2.162532e+04   6.311e+03   1.918e+01   1.258e-01   1.450e+02   9.081e-01    5.048e+02    4.428e+02   4.738e+02   4.738e+02   8.196e-02  
      13   2.162562e+04   6.299e+03   1.425e+01   1.258e-01   1.453e+02   9.064e-01    5.048e+02    4.429e+02   4.739e+02   4.738e+02  -4.127e-02  
      14   2.162591e+04   6.295e+03   1.846e+01   1.258e-01   1.459e+02   9.116e-01    5.046e+02    4.427e+02   4.736e+02   4.738e+02   1.943e-01  
      15   2.162621e+04   6.096e+03   1.257e+01   1.258e-01   1.449e+02   9.194e-01    5.050e+02    4.429e+02   4.739e+02   4.738e+02  -1.098e-01  
      16   2.162651e+04   6.358e+03   1.110e+01   1.258e-01   1.476e+02   9.078e-01    5.047e+02    4.429e+02   4.738e+02   4.738e+02   4.575e-02  
      17   2.162680e+04   6.241e+03   1.584e+01   1.258e-01   1.450e+02   9.169e-01    5.048e+02    4.432e+02   4.740e+02   4.738e+02  -1.728e-01  
      18   2.162710e+04   6.394e+03   9.081e+00   1.258e-01   1.491e+02   9.133e-01    5.048e+02    4.430e+02   4.739e+02   4.738e+02  -1.212e-01  
      19   2.162740e+04   6.331e+03   9.244e+00   1.258e-01   1.481e+02   9.138e-01    5.048e+02    4.429e+02   4.738e+02   4.738e+02  -5.246e-02  
