     col           wave        flux         sky   synth_sky         snr        flat  trace_upper  trace_lower  trace_mean   trace_fit     fit_res  
  pixels      Angstroms      counts      counts                                            pixel       pixels      pixels      pixels      pixels  
       0   2.102597e+04   8.600e+03   7.283e+01   1.258e-01   1.378e+02   9.468e-01    3.550e+02    2.940e+02   3.245e+02   3.249e+02   3.546e-01  
       1   2.102626e+04   8.559e+03   6.639e+01   1.258e-01   1.352e+02   9.139e-01    3.557e+02    2.938e+02   3.248e+02   3.249e+02   9.715e-02  
       2   2.102654e+04   8.548e+03   9.135e+01   1.258e-01   1.329e+02   9.027e-01    3.561e+02    2.938e+02   3.249e+02   3.249e+02  -7.913e-02  
       3   2.102682e+04   8.784e+03   1.467e+02   1.258e-01   1.369e+02   9.345e-01    3.559e+02    2.939e+02   3.249e+02   3.249e+02   1.081e-04  
       4   2.102711e+04   8.725e+03   1.793e+02   1.258e-01   1.348e+02   9.419e-01    3.560e+02    2.938e+02   3.249e+02   3.249e+02  -5.705e-02  
       5   2.102739e+04   8.900e+03   1.810e+02   1.258e-01   1.362e+02   9.346e-01    3.559e+02    2.938e+02   3.248e+02   3.249e+02   1.769e-02  
       6   2.102767e+04   9.094e+03   1.473e+02   1.259e-01   1.389e+02   9.291e-01    3.562e+02    2.938e+02   3.250e+02   3.249e+02  -1.392e-01  
       7   2.102796e+04   9.066e+03   1.245e+02   1.672e-01   1.392e+02   9.207e-01    3.559e+02    2.937e+02   3.248e+02   3.249e+02   8.147e-02  
       8   2.102824e+04   8.964e+03   1.039e+02   1.762e+00   1.362e+02   8.982e-01    3.559e+02    2.938e+02   3.249e+02   3.249e+02   3.676e-03  
       9   2.102852e+04   8.760e+03   7.291e+01   6.520e+00   1.370e+02   9.054e-01    3.560e+02    2.938e+02   3.249e+02   3.249e+02   3.583e-03  
      10   2.102881e+04   8.158e+03   4.999e+01   2.917e+00   1.326e+02   9.301e-01    3.559e+02    2.939e+02   3.249e+02   3.249e+02  -2.353e-02  
      11   2.102909e+04   7.626e+03   4.418e+01   4.412e+00   1.245e+02   9.178e-01    3.559e+02    2.938e+02   3.249e+02   3.249e+02   3.034e-02  
      12   2.102938e+04   7.697e+03   4.116e+01   5.539e+00   1.267e+02   9.268e-01    3.561e+02    2.937e+02   3.249e+02   3.249e+02  -5.313e-02  
      13   2.102966e+04   7.626e+03   3.886e+01   8.171e-01   1.260e+02   9.321e-01    3.558e+02    2.939e+02   3.249e+02   3.249e+02   1.019e-02  
      14   2.102994e+04   8.276e+03   4.682e+01   1.345e-01   1.345e+02   9.310e-01    3.559e+02    2.937e+02   3.248e+02   3.249e+02   6.844e-02  
      15   2.103023e+04   8.851e+03   4.813e+01   1.258e-01   1.408e+02   9.270e-01    3.559e+02    2.937e+02   3.248e+02   3.249e+02   7.784e-02  
      16   2.103051e+04   9.901e+03   5.574e+01   1.258e-01   1.543e+02   9.286e-01    3.562e+02    2.936e+02   3.249e+02   3.249e+02   1.766e-03  
      17   2.103080e+04   1.022e+04   5.955e+01   1.258e-01   1.578e+02   9.327e-01    3.560e+02    2.938e+02   3.249e+02   3.249e+02   3.749e-02  
      18   2.103108e+04   1.056e+04   5.790e+01   1.258e-01   1.616e+02   9.288e-01    3.563e+02    2.940e+02   3.251e+02   3.249e+02  -2.470e-01  
      19   2.103136e+04   1.006e+04   5.364e+01   1.258e-01   1.563e+02   9.311e-01    3.559e+02    2.939e+02   3.249e+02   3.249e+02   1.290e-02  
      20   2.103165e+04   9.722e+03   5.468e+01   1.258e-01   1.521e+02   9.304e-01    3.560e+02    2.941e+02   3.250e+02   3.249e+02  -1.413e-01  
      21   2.103193e+04   9.510e+03   5.456e+01   1.258e-01   1.498e+02   9.334e-01    3.560e+02    2.939e+02   3.250e+02   3.249e+02  -5.234e-02  
      22   2.103222e+04   9.381e+03   5.111e+01   1.258e-01   1.491e+02   9.397e-01    3.561e+02    2.939e+02   3.250e+02   3.249e+02  -5.773e-02  
      23   2.103250e+04   9.401e+03   5.182e+01   1.258e-01   1.491e+02   9.413e-01    3.559e+02    2.938e+02   3.249e+02   3.249e+02   5.269e-02  
      24   2.103279e+04   9.495e+03   5.324e+01   1.258e-01   1.504e+02   9.411e-01    3.561e+02    2.939e+02   3.250e+02   3.249e+02  -5.713e-02  
      25   2.103307e+04   9.067e+03   6.157e+01   1.258e-01   1.448e+02   9.432e-01    3.560e+02    2.938e+02   3.249e+02   3.249e+02   1.077e-03  
