     row  mean_flux  
  pixels     counts  
       0       2217  
       1       2628  
       2       2325  
       3       1542  
       4        834  
       5        426  
       6        244  
       7        169  
       8        142  
       9        128  
      10        107  
      11         90  
      12         81  
      13         75  
      14         72  
      15         70  
      16         68  
      17         69  
      18         69  
      19         69  
      20         68  
      21         68  
      22         68  
      23         68  
      24         67  
      25         67  
      26         67  
      27         67  
      28         67  
      29         68  
      30         68  
      31         67  
      32         67  
      33         67  
      34         67  
      35         67  
      36         67  
      37         67  
      38         68  
      39         68  
      40         68  
      41         68  
      42         68  
      43         67  
      44         67  
      45         67  
      46         67  
      47         67  
      48         68  
      49         68  
      50         70  
      51         80  
