     row  mean_flux  
  pixels     counts  
       0        216  
       1        218  
       2        220  
       3        222  
       4        221  
       5        221  
       6        226  
       7        232  
       8        240  
       9        245  
      10        238  
      11        227  
      12        223  
      13        220  
      14        219  
      15        218  
      16        219  
      17        222  
      18        221  
      19        224  
      20        223  
      21        221  
      22        225  
      23        227  
      24        224  
      25        224  
      26        226  
      27        229  
      28        234  
      29        252  
      30        264  
      31        277  
      32        312  
      33        374  
      34        479  
      35        664  
      36        965  
      37       1385  
      38       1807  
      39       1983  
      40       1788  
      41       1379  
      42        950  
      43        626  
      44        438  
      45        349  
      46        309  
      47        285  
      48        268  
      49        253  
      50        269  
      51        353  
