     row  mean_flux  
  pixels     counts  
       0        388  
       1        652  
       2       1080  
       3       1597  
       4       1932  
       5       1737  
       6       1170  
       7        654  
       8        350  
       9        210  
      10        150  
      11        123  
      12        111  
      13        103  
      14         98  
      15         96  
      16         94  
      17         94  
      18         93  
      19         92  
      20         92  
      21         92  
      22         92  
      23         92  
      24         91  
      25         92  
      26         91  
      27         91  
      28         91  
      29         90  
      30         90  
      31         90  
      32         91  
      33         92  
      34         91  
      35         91  
      36         91  
      37         91  
      38         91  
      39         91  
      40         91  
      41         91  
      42         92  
      43         92  
      44         91  
      45         91  
      46         91  
      47         91  
      48         91  
      49         91  
      50         91  
      51         91  
      52         91  
      53         92  
