     row  mean_flux  
  pixels     counts  
       0        543  
       1        955  
       2       1554  
       3       2154  
       4       2328  
       5       1832  
       6       1107  
       7        570  
       8        290  
       9        168  
      10        114  
      11         90  
      12         78  
      13         70  
      14         66  
      15         63  
      16         61  
      17         60  
      18         59  
      19         59  
      20         59  
      21         59  
      22         58  
      23         58  
      24         57  
      25         58  
      26         58  
      27         57  
      28         57  
      29         57  
      30         57  
      31         57  
      32         58  
      33         57  
      34         57  
      35         57  
      36         57  
      37         57  
      38         57  
      39         57  
      40         57  
      41         58  
      42         58  
      43         58  
      44         57  
      45         58  
      46         57  
      47         57  
      48         57  
      49         57  
      50         57  
      51         57  
      52         57  
