     row  mean_flux  
  pixels     counts  
       0        228  
       1        229  
       2        230  
       3        233  
       4        234  
       5        234  
       6        232  
       7        230  
       8        228  
       9        228  
      10        228  
      11        228  
      12        228  
      13        228  
      14        228  
      15        229  
      16        229  
      17        230  
      18        230  
      19        230  
      20        232  
      21        233  
      22        237  
      23        242  
      24        249  
      25        262  
      26        277  
      27        295  
      28        328  
      29        396  
      30        535  
      31        780  
      32       1178  
      33       1579  
      34       1705  
      35       1528  
      36       1129  
      37        736  
      38        478  
      39        348  
      40        289  
      41        263  
      42        249  
      43        242  
      44        237  
      45        234  
      46        232  
      47        231  
      48        230  
      49        230  
      50        230  
      51        229  
      52        229  
      53        230  
