     row  mean_flux  
  pixels     counts  
       0        165  
       1        165  
       2        169  
       3        172  
       4        172  
       5        175  
       6        178  
       7        181  
       8        180  
       9        177  
      10        173  
      11        171  
      12        168  
      13        163  
      14        162  
      15        161  
      16        162  
      17        161  
      18        164  
      19        167  
      20        168  
      21        172  
      22        173  
      23        171  
      24        170  
      25        170  
      26        169  
      27        170  
      28        178  
      29        180  
      30        180  
      31        190  
      32        207  
      33        245  
      34        314  
      35        419  
      36        565  
      37        736  
      38        847  
      39        816  
      40        663  
      41        493  
      42        359  
      43        271  
      44        225  
      45        202  
      46        191  
      47        184  
