     row  mean_flux  
  pixels     counts  
       0        202  
       1        202  
       2        201  
       3        202  
       4        205  
       5        205  
       6        206  
       7        207  
       8        208  
       9        212  
      10        218  
      11        226  
      12        227  
      13        217  
      14        210  
      15        207  
      16        205  
      17        205  
      18        204  
      19        207  
      20        207  
      21        207  
      22        210  
      23        207  
      24        207  
      25        213  
      26        212  
      27        209  
      28        210  
      29        213  
      30        217  
      31        229  
      32        252  
      33        260  
      34        278  
      35        314  
      36        374  
      37        484  
      38        679  
      39        985  
      40       1395  
      41       1750  
      42       1810  
      43       1543  
      44       1142  
      45        768  
      46        510  
      47        366  
      48        295  
      49        259  
      50        239  
      51        229  
      52        223  
