     row  mean_flux  
  pixels     counts  
       0        393  
       1        392  
       2        392  
       3        392  
       4        395  
       5        396  
       6        397  
       7        398  
       8        397  
       9        399  
      10        402  
      11        407  
      12        412  
      13        408  
      14        401  
      15        399  
      16        397  
      17        396  
      18        395  
      19        396  
      20        399  
      21        398  
      22        401  
      23        400  
      24        398  
      25        401  
      26        404  
      27        400  
      28        399  
      29        400  
      30        402  
      31        407  
      32        424  
      33        437  
      34        440  
      35        460  
      36        492  
      37        546  
      38        650  
      39        825  
      40       1086  
      41       1394  
      42       1581  
      43       1506  
      44       1243  
      45        949  
      46        709  
      47        562  
      48        486  
      49        449  
      50        428  
      51        419  
      52        413  
      53        418  
