     row  mean_flux  
  pixels     counts  
       0        358  
       1        587  
       2       1009  
       3       1693  
       4       2506  
       5       3045  
       6       2802  
       7       1940  
       8       1097  
       9        569  
      10        324  
      11        225  
      12        185  
      13        167  
      14        146  
      15        128  
      16        116  
      17        108  
      18        102  
      19        100  
      20         99  
      21         99  
      22         98  
      23         98  
      24         98  
      25         97  
      26         98  
      27         98  
      28         98  
      29         97  
      30         97  
      31         97  
      32         97  
      33         97  
      34         97  
      35         96  
      36         96  
      37         97  
      38         97  
      39         97  
      40         97  
      41         97  
      42         98  
      43         98  
      44         98  
      45         98  
      46         97  
      47         97  
      48         97  
      49         97  
      50         97  
      51         97  
      52         97  
      53         98  
