     row  mean_flux  
  pixels     counts  
       0         66  
       1         67  
       2         70  
       3         73  
       4         74  
       5         72  
       6         69  
       7         67  
       8         66  
       9         65  
      10         66  
      11         66  
      12         66  
      13         66  
      14         66  
      15         67  
      16         67  
      17         67  
      18         68  
      19         70  
      20         71  
      21         74  
      22         80  
      23         87  
      24         98  
      25        115  
      26        135  
      27        167  
      28        229  
      29        354  
      30        592  
      31        986  
      32       1539  
      33       1879  
      34       1840  
      35       1441  
      36        919  
      37        509  
      38        278  
      39        169  
      40        121  
      41         99  
      42         86  
      43         80  
      44         75  
      45         72  
      46         71  
      47         69  
      48         68  
      49         68  
      50         67  
      51         67  
      52         67  
