     row  mean_flux  
  pixels     counts  
       0         64  
       1         66  
       2         65  
       3         62  
       4         59  
       5         57  
       6         56  
       7         56  
       8         57  
       9         57  
      10         57  
      11         57  
      12         58  
      13         58  
      14         58  
      15         59  
      16         60  
      17         62  
      18         63  
      19         66  
      20         71  
      21         77  
      22         90  
      23        109  
      24        144  
      25        209  
      26        331  
      27        562  
      28        943  
      29       1535  
      30       2024  
      31       2113  
      32       1777  
      33       1202  
      34        686  
      35        365  
      36        211  
      37        148  
      38        125  
      39        111  
      40         97  
      41         80  
      42         71  
      43         65  
      44         61  
      45         59  
      46         58  
      47         58  
      48         58  
      49         58  
      50         62  
      51         74  
