     row  mean_flux  
  pixels     counts  
       0        994  
       1       1569  
       2       2176  
       3       2428  
       4       2047  
       5       1346  
       6        771  
       7        439  
       8        290  
       9        227  
      10        201  
      11        188  
      12        176  
      13        163  
      14        154  
      15        149  
      16        146  
      17        145  
      18        144  
      19        144  
      20        143  
      21        143  
      22        143  
      23        143  
      24        143  
      25        143  
      26        142  
      27        142  
      28        142  
      29        142  
      30        142  
      31        143  
      32        143  
      33        142  
      34        142  
      35        142  
      36        142  
      37        142  
      38        142  
      39        142  
      40        143  
      41        143  
      42        143  
      43        143  
      44        143  
      45        143  
      46        142  
      47        142  
      48        142  
      49        143  
      50        142  
