     row  mean_flux  
  pixels     counts  
       0        143  
       1        146  
       2        150  
       3        151  
       4        149  
       5        145  
       6        142  
       7        141  
       8        140  
       9        140  
      10        140  
      11        141  
      12        141  
      13        141  
      14        141  
      15        141  
      16        142  
      17        143  
      18        143  
      19        145  
      20        146  
      21        150  
      22        153  
      23        159  
      24        171  
      25        190  
      26        222  
      27        280  
      28        387  
      29        588  
      30        922  
      31       1447  
      32       1901  
      33       1993  
      34       1709  
      35       1197  
      36        732  
      37        438  
      38        290  
      39        227  
      40        202  
      41        187  
      42        173  
      43        162  
      44        154  
      45        148  
      46        144  
      47        143  
      48        143  
      49        142  
      50        141  
