     row  mean_flux  
  pixels     counts  
       0        223  
       1        221  
       2        221  
       3        220  
       4        219  
       5        222  
       6        225  
       7        225  
       8        227  
       9        226  
      10        229  
      11        236  
      12        245  
      13        251  
      14        245  
      15        234  
      16        228  
      17        226  
      18        223  
      19        222  
      20        224  
      21        226  
      22        226  
      23        227  
      24        228  
      25        226  
      26        228  
      27        231  
      28        229  
      29        229  
      30        230  
      31        233  
      32        237  
      33        253  
      34        267  
      35        276  
      36        308  
      37        363  
      38        456  
      39        623  
      40        895  
      41       1286  
      42       1721  
      43       1967  
      44       1848  
      45       1461  
      46       1030  
      47        683  
      48        470  
      49        363  
      50        317  
      51        292  
      52        274  
      53        261  
