     row  mean_flux  
  pixels     counts  
       0       1605  
       1       1315  
       2        873  
       3        517  
       4        314  
       5        221  
       6        180  
       7        164  
       8        156  
       9        148  
      10        139  
      11        133  
      12        130  
      13        128  
      14        127  
      15        127  
      16        127  
      17        126  
      18        126  
      19        126  
      20        125  
      21        126  
      22        126  
      23        125  
      24        125  
      25        125  
      26        125  
      27        125  
      28        126  
      29        126  
      30        125  
      31        125  
      32        125  
      33        125  
      34        125  
      35        125  
      36        125  
      37        126  
      38        126  
      39        126  
      40        125  
      41        125  
      42        125  
      43        125  
      44        125  
      45        125  
      46        126  
      47        126  
