     row  mean_flux  
  pixels     counts  
       0        312  
       1        311  
       2        309  
       3        312  
       4        312  
       5        310  
       6        309  
       7        309  
       8        311  
       9        316  
      10        322  
      11        326  
      12        321  
      13        316  
      14        314  
      15        311  
      16        309  
      17        307  
      18        306  
      19        307  
      20        304  
      21        306  
      22        305  
      23        308  
      24        313  
      25        316  
      26        314  
      27        313  
      28        315  
      29        317  
      30        321  
      31        335  
      32        343  
      33        350  
      34        374  
      35        414  
      36        476  
      37        593  
      38        781  
      39       1050  
      40       1334  
      41       1468  
      42       1353  
      43       1090  
      44        808  
      45        598  
      46        471  
      47        405  
      48        376  
      49        359  
      50        344  
