     row  mean_flux  
  pixels     counts  
       0         95  
       1         96  
       2         98  
       3        101  
       4        105  
       5        109  
       6        108  
       7        103  
       8         99  
       9         97  
      10         96  
      11         96  
      12         96  
      13         97  
      14         97  
      15         97  
      16         97  
      17         97  
      18         98  
      19         98  
      20         99  
      21        102  
      22        103  
      23        106  
      24        111  
      25        118  
      26        131  
      27        153  
      28        189  
      29        257  
      30        382  
      31        620  
      32       1019  
      33       1656  
      34       2302  
      35       2504  
      36       2223  
      37       1580  
      38        946  
      39        520  
      40        306  
      41        211  
      42        177  
      43        162  
      44        145  
      45        129  
      46        116  
      47        106  
      48        101  
      49        100  
      50         98  
      51         98  
      52         97  
      53         98  
