   order  source       col       wave_exp       wave_fit        res    peak             disp  
                    pixels      Angstroms      Angstroms  Angstroms  counts  Angstroms/pixel  
      38     sky   281.389   2.000497e+04   2.000462e+04      0.352     603        2.754e-01  
      38     sky   293.459   2.000815e+04   2.000794e+04      0.205    7121        2.757e-01  
      38     sky   381.446   2.003316e+04   2.003229e+04      0.871    1433        2.777e-01  
      38     sky   511.494   2.006888e+04   2.006859e+04      0.289     581        2.806e-01  
      37     sky   136.582   2.049936e+04   2.050013e+04      0.776    2289        2.800e-01  
      37     sky   358.705   2.056295e+04   2.056304e+04      0.088    2974        2.864e-01  
      37     sky   361.060   2.056414e+04   2.056371e+04      0.428    4127        2.865e-01  
      37     sky   913.624   2.072817e+04   2.072644e+04      1.729    3054        3.025e-01  
      37     sky   919.245   2.072986e+04   2.072814e+04      1.714    2960        3.027e-01  
      36     sky    30.462   2.103309e+04   2.103462e+04      1.533     401        2.845e-01  
      36     sky   127.769   2.106150e+04   2.106248e+04      0.979     484        2.880e-01  
      36     sky   130.879   2.106269e+04   2.106338e+04      0.686     485        2.881e-01  
      36     sky   149.596   2.106773e+04   2.106877e+04      1.044     830        2.887e-01  
      36     sky   247.026   2.109632e+04   2.109708e+04      0.760     525        2.922e-01  
      36     sky   272.774   2.110428e+04   2.110461e+04      0.336     791        2.931e-01  
      36     sky   282.382   2.110710e+04   2.110743e+04      0.328     720        2.935e-01  
      36     sky   311.740   2.111565e+04   2.111606e+04      0.411    1657        2.945e-01  
      36     sky   446.102   2.115593e+04   2.115596e+04      0.033     790        2.993e-01  
      36     sky   513.645   2.117639e+04   2.117626e+04      0.131    2735        3.017e-01  
      36     sky   696.386   2.123235e+04   2.123199e+04      0.364    1278        3.082e-01  
      36     sky   752.130   2.124948e+04   2.124923e+04      0.253    3022        3.102e-01  
      36     sky   844.489   2.127822e+04   2.127803e+04      0.190     304        3.135e-01  
      36     sky   849.514   2.127989e+04   2.127961e+04      0.288     285        3.137e-01  
      36     sky   966.222   2.131618e+04   2.131646e+04      0.279     479        3.178e-01  
      36     sky   977.345   2.131965e+04   2.131999e+04      0.342     448        3.182e-01  
      36     sky   997.512   2.132591e+04   2.132642e+04      0.506    1239        3.189e-01  
      35     sky   299.727   2.171093e+04   2.171122e+04      0.291    1626        3.040e-01  
      35     sky   593.303   2.180211e+04   2.180232e+04      0.207    5606        3.165e-01  
      35     sky   817.815   2.187335e+04   2.187446e+04      1.115    2808        3.261e-01  
      34     sky   192.172   2.231180e+04   2.231158e+04      0.215    1678        3.092e-01  
      34     sky   197.983   2.231365e+04   2.231338e+04      0.267    1661        3.095e-01  
      34     sky   657.199   2.246060e+04   2.246078e+04      0.175     603        3.324e-01  
      33     sky    48.087   2.293825e+04   2.293732e+04      0.924     131        3.112e-01  
      33     sky    53.146   2.293995e+04   2.293890e+04      1.049     146        3.115e-01  
      33     sky   189.485   2.298353e+04   2.298190e+04      1.635     160        3.193e-01  
      33     sky   201.692   2.298747e+04   2.298580e+04      1.670     207        3.200e-01  
