   order  source       col       wave_exp       wave_fit        res    peak             disp  
                    pixels      Angstroms      Angstroms  Angstroms  counts  Angstroms/pixel  
      38     sky     5.858   1.992665e+04   1.992682e+04      0.168      30        2.833e-01  
      38     sky   278.026   2.000497e+04   2.000418e+04      0.789      67        2.852e-01  
      38     sky   289.618   2.000815e+04   2.000749e+04      0.662     777        2.853e-01  
      38     sky   377.541   2.003316e+04   2.003259e+04      0.564     152        2.859e-01  
      38     sky   507.594   2.006888e+04   2.006983e+04      0.951      63        2.868e-01  
      38     sky   931.556   2.019302e+04   2.019203e+04      0.991     131        2.897e-01  
      37     sky   134.373   2.049936e+04   2.049885e+04      0.507     236        2.891e-01  
      37     sky   355.728   2.056295e+04   2.056322e+04      0.264     370        2.924e-01  
      37     sky   358.974   2.056414e+04   2.056417e+04      0.023     416        2.925e-01  
      37     sky   911.612   2.072817e+04   2.072805e+04      0.119     314        3.006e-01  
      37     sky   917.242   2.072986e+04   2.072974e+04      0.115     308        3.007e-01  
      36     sky    28.330   2.103309e+04   2.103308e+04      0.012      57        2.919e-01  
      36     sky   125.326   2.106150e+04   2.106150e+04      0.006      62        2.942e-01  
      36     sky   128.972   2.106269e+04   2.106258e+04      0.111      65        2.943e-01  
      36     sky   147.254   2.106773e+04   2.106796e+04      0.230     100        2.947e-01  
      36     sky   244.448   2.109632e+04   2.109671e+04      0.395      72        2.969e-01  
      36     sky   270.487   2.110428e+04   2.110445e+04      0.176      97        2.975e-01  
      36     sky   280.178   2.110710e+04   2.110734e+04      0.232      86        2.978e-01  
      36     sky   309.520   2.111565e+04   2.111608e+04      0.430     187        2.984e-01  
      36     sky   444.019   2.115593e+04   2.115643e+04      0.504      96        3.015e-01  
      36     sky   511.484   2.117639e+04   2.117683e+04      0.439     303        3.031e-01  
      36     sky   694.282   2.123235e+04   2.123262e+04      0.263     141        3.073e-01  
      36     sky   750.121   2.124948e+04   2.124981e+04      0.334     317        3.086e-01  
      36     sky   843.031   2.127822e+04   2.127859e+04      0.367      46        3.108e-01  
      36     sky   847.218   2.127989e+04   2.127989e+04      0.004      51        3.108e-01  
      36     sky   963.586   2.131618e+04   2.131622e+04      0.037      67        3.135e-01  
      36     sky   975.251   2.131965e+04   2.131988e+04      0.223      66        3.138e-01  
      36     sky   995.416   2.132591e+04   2.132621e+04      0.297     143        3.143e-01  
      35     sky   297.413   2.171093e+04   2.171111e+04      0.181     172        3.051e-01  
      35     sky   590.813   2.180211e+04   2.180201e+04      0.103     520        3.145e-01  
      35     sky   815.513   2.187335e+04   2.187348e+04      0.129     262        3.216e-01  
      34     sky   190.765   2.231180e+04   2.231188e+04      0.078     170        3.081e-01  
      34     sky   196.501   2.231365e+04   2.231364e+04      0.007     170        3.083e-01  
      34     sky   828.342   2.251673e+04   2.251669e+04      0.034      93        3.344e-01  
      33     sky    47.932   2.293825e+04   2.293891e+04      0.662      18        3.076e-01  
      33     sky    52.206   2.293995e+04   2.294023e+04      0.280      18        3.078e-01  
      33     sky   188.885   2.298353e+04   2.298278e+04      0.760      22        3.148e-01  
      33     sky   201.045   2.298747e+04   2.298661e+04      0.868      26        3.154e-01  
